property,product_id,value
ip_rating,219422,IP 44
ip_rating,219429,IP 67
ip_rating,219461,IP 66
ip_rating,219471,IP 56
ip_rating,219472,IP 56
ip_rating,219473,IP 56
ip_rating,222559,IP 31
ip_rating,222560,IP 31
ip_rating,222561,IP 31
ip_rating,222568,IP 31
ip_rating,222569,IP 31
ip_rating,223675,IP 65
ip_rating,225938,IP 54
ip_rating,236677,IP 56
ip_rating,236678,IP 56
ip_rating,237674,IP 65
ip_rating,237675,IP 66
ip_rating,237832,IP 34
ip_rating,238019,IP 55
ip_rating,238020,IP 55
ip_rating,238021,IP 55
ip_rating,238022,IP 55
ip_rating,238023,IP 55
ip_rating,240818,IP 55
ip_rating,242924,IP 55
ip_rating,242925,IP 55
ip_rating,244673,IP 43
ip_rating,244674,IP 43
ip_rating,244675,IP 43
ip_rating,246550,IP 68
ip_rating,246551,IP 65
ip_rating,246831,IP 40
ip_rating,246832,IP 40
ip_rating,260994,IP 65
ip_rating,260996,IP 65
ip_rating,260997,IP 65
ip_rating,261012,IP 65
ip_rating,261015,IP 65
ip_rating,261017,IP 20
ip_rating,261018,IP 20
ip_rating,261399,IP 20
ip_rating,265452,IP 65
ip_rating,265456,IP 65
ip_rating,265631,IP 67
ip_rating,265632,IP 67
ip_rating,265633,IP 67
ip_rating,265646,IP 67
ip_rating,265650,IP 65
ip_rating,265672,IP 40
ip_rating,265701,IP 40
ip_rating,265702,IP 40
ip_rating,265703,IP 40
ip_rating,265704,IP 40
ip_rating,265705,IP 40
ip_rating,265706,IP 40
ip_rating,265707,IP 40
ip_rating,265708,IP 40
ip_rating,265709,IP 40
ip_rating,265710,IP 40
ip_rating,265711,IP 40
ip_rating,265712,IP 40
ip_rating,265713,IP 40
ip_rating,265714,IP 40
ip_rating,265715,IP 40
ip_rating,265716,IP 40
ip_rating,265733,IP 40
ip_rating,265734,IP 40
ip_rating,265735,IP 40
ip_rating,265736,IP 65
ip_rating,265737,IP 40
ip_rating,265738,IP 40
ip_rating,265739,IP 65
ip_rating,265750,IP 40
ip_rating,265751,IP 65
ip_rating,265752,IP 40
ip_rating,265753,IP 65
ip_rating,265754,IP 65
ip_rating,265755,IP 65
ip_rating,265756,IP 40
ip_rating,265757,IP 40
ip_rating,265758,IP 40
ip_rating,265759,IP 40
ip_rating,265760,IP 40
ip_rating,265761,IP 40
ip_rating,265762,IP 40
ip_rating,265763,IP 40
ip_rating,265764,IP 40
ip_rating,265765,IP 40
ip_rating,265766,IP 40
ip_rating,265767,IP 40
ip_rating,265768,IP 40
ip_rating,265769,IP 40
ip_rating,265770,IP 40
ip_rating,265771,IP 40
ip_rating,265772,IP 40
ip_rating,265773,IP 40
ip_rating,265774,IP 40
ip_rating,265775,IP 40
ip_rating,265798,IP 40
ip_rating,265799,IP 40
ip_rating,265800,IP 40
ip_rating,265801,IP 40
ip_rating,265802,IP 40
ip_rating,265803,IP 40
ip_rating,265804,IP 40
ip_rating,265805,IP 40
ip_rating,265806,IP 40
ip_rating,265807,IP 40
ip_rating,265808,IP 40
ip_rating,265809,IP 40
ip_rating,265810,IP 40
ip_rating,265811,IP 40
ip_rating,265812,IP 40
ip_rating,265813,IP 40
ip_rating,265814,IP 40
ip_rating,265815,IP 40
ip_rating,265816,IP 40
ip_rating,265817,IP 40
ip_rating,265818,IP 40
ip_rating,265819,IP 40
ip_rating,265820,IP 40
ip_rating,265821,IP 40
ip_rating,265822,IP 40
ip_rating,265823,IP 40
ip_rating,265824,IP 40
ip_rating,265825,IP 40
ip_rating,266780,IP 67
ip_rating,266781,IP 67
ip_rating,266782,IP 67
ip_rating,266790,IP 20
ip_rating,266791,IP 20
ip_rating,266792,IP 20
ip_rating,266793,IP 20
ip_rating,266816,IP 20
ip_rating,266817,IP 20
ip_rating,266818,IP 20
ip_rating,266819,IP 65
ip_rating,266822,IP 20
ip_rating,266823,IP 20
ip_rating,266824,IP 20
ip_rating,266826,IP 20
ip_rating,266827,IP 20
ip_rating,266828,IP 20
ip_rating,266830,IP 20
ip_rating,266833,IP 20
ip_rating,266845,IP 20
ip_rating,266846,IP 20
ip_rating,266847,IP 20
ip_rating,266848,IP 20
ip_rating,266849,IP 20
ip_rating,266850,IP 20
ip_rating,266851,IP 20
ip_rating,266852,IP 20
ip_rating,266853,IP 20
ip_rating,266854,IP 20
ip_rating,266855,IP 20
ip_rating,266856,IP 20
ip_rating,266857,IP 20
ip_rating,266858,IP 20
ip_rating,266859,IP 20
ip_rating,266860,IP 20
ip_rating,266861,IP 20
ip_rating,266862,IP 20
ip_rating,266863,IP 20
